Dia,RL_Res_Min,RL_Res_1Q,RL_Res_Mdn,RL_Res_3Q,RegLin_Max,CoefEst_Intercept,CoefEst_irr_est,CoefEst_temp,CoefEst_numPM1,CoefEst_massaPM1,CoefEst_numPM2,CoefEst_massaPM2,CoefStdError_Intercept,CoefStdError_irr_est,CoefStdError_temp,CoefStdError_numPM1,CoefStdError_massaPM1,CoefStdError_numPM2,CoefStdError_massaPM2,CoefPValue_Intercept,CoefPValue_irr_est,CoefPValue_temp,CoefPValue_numPM1,CoefPValue_massaPM1,CoefPValue_numPM2,CoefPValue_massaPM2,R2,R2_ajust,Graus_Lib,Err_res_pad
20191117,-1091.8197016995155,-149.9168554782509,-48.09892801244857,51.42676403470814,5220.351133906281,10.22892077685865,7.799684463222672,1.1770816372074084,980.0138965946597,-8115.960662821466,1174.6187560208996,39.5911231858716,111.17327483880076,0.05030721228478041,0.9368357605159778,571.5406647110983,4738.568589706751,3371.654886146207,3566.5790911213603,0.9267100178002908,0,0.20925723820140243,0.08672153475139105,0.08707866636869932,0.7276299756040451,0.9911454747566464,0.9748922575847572,0.9745819662263814,971,427.7463968519644
20191118,-1082.9103503246179,-145.92407312483306,-47.58997605761415,50.52956293794557,5241.2447520349315,-3.55334853462205,7.803248202382982,1.14307275596739,1009.0492276449429,-8355.89601011368,1332.3449467604848,-50.03919014883402,110.43855458638524,0.04865267941844907,0.930494432172983,561.0784541866597,4651.763929480507,3310.1763028564255,3499.4503266268607,0.9743390320580992,0,0.21956580058921704,0.07241502854907561,0.07275238127121028,0.6874027688681275,0.988594178596985,0.9753264289669634,0.9750288582610374,995,425.4643858763001
20191119,-1082.4108116117993,-144.35282940178683,-47.06178227836837,49.043132919939296,5240.330580738985,0.3805631997194357,7.799197643613641,1.0385490420004277,905.2906061530474,-7502.7579208707275,696.2445478673931,471.1209157833085,109.44100145624208,0.047682986299490714,0.9227457958556821,551.1304867471404,4569.540298903913,3254.4627090852823,3445.3776637927444,0.9972261730225935,0,0.260642852045884,0.1007728648221505,0.10091793579570796,0.8306402886831026,0.8912633275024858,0.9756650796614064,0.9753785055259175,1019,422.4747293632965
20191120,-1081.007504860225,-142.8985647530401,-45.858516403343096,47.1062380031361,5241.086052291321,5.983402262260698,7.8008027699424,0.9338680237709254,912.5639669674475,-7566.923031338942,418.98330709226474,787.4324676745302,108.4371527280441,0.04639610397386473,0.9140006438210838,539.2595113031903,4471.190469193749,3185.698163658399,3366.9622607118913,0.9560068040676735,0,0.3071424484098934,0.09089626372654676,0.09087350088130405,0.8953892601534478,0.8151315676165639,0.976312035779162,0.9760394992780594,1043,419.2804214858274
20191121,-1078.1534173295559,-141.66042566646328,-45.69929738546518,46.89730873955317,5239.340242169708,6.399422035621866,7.797629985444162,0.9345720274894456,882.0739144775564,-7312.097567821867,550.3092014345385,599.463499136073,107.68718839565332,0.04559743479305385,0.9075421462247135,531.747074536791,4408.769734517369,3127.2685702479803,3302.7511307046334,0.9526239402112383,0,0.3033456248216809,0.09744632220531352,0.09750432543550609,0.8603500536409305,0.8560063358568974,0.9767412377704872,0.976478920903237,1064,416.60011003314366
20191122,-1073.8584695701545,-144.92942084937215,-45.76353662829065,44.85689224631659,5247.369873364586,12.962678422566293,7.800840004691545,0.859291493949757,858.8509763407201,-7120.657812150142,499.8685369116061,640.8419708982967,107.27466638998752,0.045222037783086616,0.9048209784914668,524.694726927344,4350.008377723957,3101.8179885892996,3270.8669224863984,0.9038430980803001,0,0.3424863218451112,0.10195085162870117,0.1019359550210503,0.8720026612294425,0.8447062874310455,0.9768116245467456,0.9765544521757299,1082,415.69182902065927
20191123,-1083.5365452529331,-139.9467675967884,-46.58270510653051,40.15351229266463,5259.937918878774,24.578674968566734,7.813097204914696,0.7350051901911583,769.9617028351537,-6385.600819261046,364.31754939277556,681.6146052830286,106.50946823111084,0.044717562858321076,0.8985309733995848,515.7062737422442,4275.385784049116,3059.6116744473734,3224.3110541259107,0.8175399243215344,0,0.4135290247567427,0.13571617581782364,0.1355724734926122,0.905239039074175,0.8326152522427128,0.9771162745610229,0.976867988209063,1106,413.58127792064585
20191124,-1074.8739237867312,-139.13022923265726,-45.97602921675352,41.595051948130155,5270.2809802923975,24.20721609902405,7.81333373099251,0.7327301733295717,813.501719008267,-6741.957864491671,787.2525635532376,307.9324077715641,105.76089820052357,0.04416197883951283,0.8928375878183283,506.94841196291685,4202.7876484008,3013.2236170261863,3174.3836003431516,0.8189987388975808,0,0.41200406530460554,0.10883856869717873,0.1089574886549591,0.7939350745478089,0.9227392936538337,0.9774505039139781,0.9772110402387284,1130,411.23342619216743
20191125,-1074.678080281863,-136.88109552622288,-46.96550179986613,40.61694576734222,5294.771615076636,24.050595507337853,7.819358204148647,0.773462605931513,819.7543758013055,-6794.335625763608,836.3328513853353,302.46792948270513,104.88307356066868,0.043361035084509274,0.8861163568930865,497.861655155973,4127.383489011915,2965.6492977467487,3121.8704478644204,0.8186696680113391,0,0.38291661664465637,0.09992273843332435,0.10000301144492865,0.7779889687941592,0.9228331423718708,0.9775294565497931,0.9772957940529104,1154,408.448095237502
20191126,-1078.40242806217,-135.22629756318554,-46.37255507225699,42.039507077374374,5296.9164416850135,26.796055322734606,7.822987013946711,0.757834733442629,768.6212165233692,-6371.867299246415,692.3478118329572,383.9175750650586,103.874864331327,0.04279562070023814,0.8792081885955024,490.88979914048,4069.570436193582,2909.297898266217,3062.0864117199217,0.7964791563129946,0,0.3888896843904679,0.1176707135234101,0.11767933283177068,0.8119398319720199,0.9002458766896178,0.9776266939819931,0.9773987825454769,1178,405.3594554809571
20191127,-1081.4744941562844,-135.29507471271805,-45.715166413594446,44.921956644813655,5299.99460771463,29.858694015406076,7.827044425523193,0.7459136306638369,741.6732448647731,-6145.631265412988,881.6909043678767,137.40891360796977,101.45601139507424,0.042229759405379076,0.8713387229273262,483.37573338274,4007.264734167547,2845.7574706341757,2993.573499504686,0.7685780572831293,0,0.392138126524438,0.1252038339684208,0.12538570528317405,0.7567466487996221,0.9633965429727429,0.977713076365757,0.9774905779600906,1202,401.93330032522965
