dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,numPM1,numPM2,tamanho_medio,temp,vento_dir,vento_vel,massaPM4,massaPM10,numPM4,numPM10,rainfall,P_AC,I_AC,I_DC,V_AC,V_DC,IRR,P_DC
20200319,024600,0,10.6,0.35,87.45,0.24,0.49,22.38,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,024700,0,13.1,0.44,108.07,0.3,0.48,22.38,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,024800,0,14.62,0.49,120.6,0.33,0.46,22.62,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,024900,0,12.94,0.43,106.74,0.29,0.48,22.5,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,025000,0,12.9,0.43,106.45,0.29,0.47,22.5,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,025100,0,11.84,0.39,97.71,0.27,0.45,22.38,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,025200,0,11.53,0.38,95.13,0.26,0.49,22.06,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,025300,0,12.5,0.42,103.13,0.28,0.47,22.25,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,025400,0,10.84,0.36,89.42,0.25,0.48,21.94,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,025500,0,11.58,0.39,95.54,0.26,0.46,22.06,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,025600,0,11.5,0.38,94.84,0.26,0.47,22.06,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,025700,0,9.9,0.33,81.69,0.22,0.45,22.06,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,025800,0,9.19,0.31,75.79,0.21,0.48,22.12,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,025900,0,9.14,0.3,75.4,0.21,0.45,22.38,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,030000,0,9.43,0.31,77.76,0.21,0.47,22.31,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,030100,0,8.3,0.28,68.48,0.19,0.5,22.5,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,030200,0,9.16,0.3,75.57,0.21,0.49,22.38,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,030300,0,8.78,0.29,72.42,0.2,0.47,22.25,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,030400,0,8.39,0.28,69.2,0.19,0.46,22.31,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,030500,0,8.42,0.28,69.49,0.19,0.49,22.38,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,030600,0,7.36,0.24,60.68,0.17,0.47,22.56,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,030700,0,8.47,0.28,69.85,0.19,0.49,22.62,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,030800,0,7.8,0.26,64.34,0.18,0.48,22.56,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,030900,0,7.46,0.25,61.52,0.17,0.49,22.56,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,031000,0,7.23,0.24,59.64,0.16,0.46,22.5,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,031100,0,7.28,0.24,60.03,0.16,0.47,22.56,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,031200,0,6.99,0.23,57.7,0.16,0.49,22.31,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,031300,0,6.89,0.23,56.87,0.16,0.47,22.56,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,031400,0,6.02,0.2,49.66,0.14,0.48,22.62,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,031500,0,6.01,0.2,49.56,0.14,0.48,22.62,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,031600,0,5.55,0.18,45.78,0.13,0.48,22.62,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
