"","dia","Vd1","Pd","Nloss","Vd2","m","x_gauss"
"118",20200227,0.0209185769172728,9.757e-05,1.46355e-06,0.0209249893567315,1.01397161965554,0.204651146191301
"119",20200228,0.0209261811362036,9.798e-05,1.4697e-06,0.0209325935756623,1.01821098990855,0.205615794550421
"120",20200229,0.0209360849566952,9.839e-05,1.47585e-06,0.020942497396154,1.02248849464291,0.206596841992519
"121",20200302,0.0209468482430726,9.94e-05,1.491e-06,0.0209532606825313,1.03312267783866,0.208753846218617
"122",20200303,0.0209594114384647,9.956e-05,1.4934e-06,0.0209658238779234,1.03482689908098,0.20974631283995
"123",20200304,0.0209723107704111,0.00010011,1.50165e-06,0.0209787232098699,1.04050300525849,0.210740794894786
"124",20200305,0.0209850157823814,0.00010065,1.50975e-06,0.0209914282218402,1.046205973918,0.211732844556109
"125",20200306,0.0209977496429222,0.00010115,1.51725e-06,0.0210041620823809,1.05142896439163,0.212723827954537
"126",20200307,0.0210103735170277,0.00010168,1.5252e-06,0.0210167859564864,1.05696118284242,0.213712918811161
"127",20200308,0.0210226567424028,0.00010245,1.53675e-06,0.0210290691818616,1.06498823315706,0.214700875535434
"128",20200309,0.0210353363934293,0.00010338,1.5507e-06,0.0210417488328881,1.07465735058264,0.215695785720185
"129",20200310,0.0210480801418062,0.00010435,1.56525e-06,0.0210544925812649,1.08477161249841,0.216695195191642
"130",20200311,0.0210608176086749,0.0001056,1.584e-06,0.0210672300481336,1.09773841914901,0.217701460699739
"131",20200312,0.0210732675688816,0.0001064,1.596e-06,0.0210796800083403,1.10605077230307,0.218707061813947
"132",20200313,0.0210860473853296,0.00010726,1.6089e-06,0.0210924598247883,1.11502287078692,0.219718051533787
"133",20200314,0.0210989528971986,0.00010872,1.6308e-06,0.0211053653366574,1.13030679500516,0.220739168111131
"134",20200315,0.0211116870158979,0.00010928,1.6392e-06,0.0211180994553567,1.13609556005163,0.221757818303038
"135",20200316,0.0211245749533014,0.00010943,1.64145e-06,0.0211309873927602,1.137732259594,0.222772641930715
"136",20200317,0.0211368704975825,0.00010975,1.64625e-06,0.0211432829370413,1.141096191343,0.223778838729275
"137",20200318,0.0211486444997953,0.00011003,1.65045e-06,0.021155056939254,1.14406306935992,0.224776667873179
"138",20200319,0.0211601836115237,0.00011078,1.6617e-06,0.0211665960509824,1.15184992680157,0.225773553943102
"139",20200320,0.021171159447509,0.00011124,1.6686e-06,0.0211775718869678,1.15664907990937,0.226763537157181
"140",20200321,0.0211816066032934,0.00011177,1.67655e-06,0.0211880190427522,1.16217458241887,0.227747642982021
"141",20200324,0.0211926312841558,0.00011435,1.71525e-06,0.0211990437236145,1.1891227423626,0.231008216418454
"142",20200325,0.0212052163591487,0.00011475,1.72125e-06,0.0212116287986074,1.19328893805123,0.232012551691659
"143",20200326,0.0212188169566321,0.00011574,1.7361e-06,0.0212252293960908,1.20358583585462,0.233029811616611
"144",20200327,0.0212328906394282,0.00011629,1.74435e-06,0.0212393030788869,1.20939302768585,0.23405067839463
"145",20200328,0.0212471749920568,0.00011644,1.7466e-06,0.0212535874315156,1.21112379180149,0.235068894351079
"146",20200329,0.021260993087003,0.00011657,1.74855e-06,0.0212674055264617,1.21247622913376,0.236077859396992
