dia_mes_ano,hora_minuto,m,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,n.x,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,n.y,P_DC
20191007,124500,3,488.31666666666666,5.333333333333333,0.17666666666666667,0,0,44.00533333333333,0.12,0,0,0.4533333333333333,24.190666666666665,117,8.600666666666667,15,443.2,20.254,222.02,4499.733333333334,8.118,560.52,15,4550.30136
20191007,130000,0,619.9973333333334,4.400666666666667,0.14666666666666667,0,0,36.308,0.1,0,0,0.43533333333333335,24.958666666666666,120,8.778,15,559.2666666666667,24.837333333333333,221.73333333333332,5508.066666666667,9.98,557.88,15,5567.642400000001
20191007,131500,1,460.552,4.1,0.136,0,0,33.82,0.09266666666666666,0,0,0.44133333333333336,24.169999999999998,111,9.664666666666667,15,422.06666666666666,19.2,220.72666666666666,4293.733333333334,7.770666666666667,552.98,15,4297.023253333334
20191007,133000,2,652.7846666666667,4.208666666666667,0.13933333333333334,0,0,34.717333333333336,0.09466666666666666,0,0,0.42666666666666664,25.094666666666665,132,7.182,15,601.6666666666666,26.708,221.13333333333333,5856.333333333333,10.716666666666667,559.18,15,5992.545666666666
20191007,134500,3,537.4986666666666,4.172666666666666,0.13866666666666666,0,0,34.43066666666667,0.09333333333333334,0,0,0.43466666666666665,24.912666666666667,144,7.625333333333334,15,471.2,21.745333333333335,218.24,4794.533333333334,8.676,554.7533333333333,15,4813.03992
20191007,140000,0,868.022,4.0473333333333334,0.134,0,0,33.388,0.09133333333333334,0,0,0.42333333333333334,25.597333333333335,150,7.004666666666667,15,792.4,31.952666666666666,222.02666666666667,7072.333333333333,12.806666666666667,559.9466666666667,15,7171.050311111112
20191007,141500,1,674.732,3.856,0.128,0,0,31.808,0.08866666666666667,0,0,0.42,25.972,183,9.044,15,383,27.979333333333333,221.63333333333333,6216.8,11.552,548.8466666666667,15,6340.276693333333
20191007,143000,2,330.06266666666664,4.26,0.14200000000000002,0,0,35.14666666666667,0.098,0,0,0.42933333333333334,25.071333333333335,162,6.118,15,270.8,13.738666666666667,219.74,3034.2,5.450666666666667,559.0466666666666,15,3047.177031111111
20191007,144500,3,476.4173333333333,4.536666666666666,0.15066666666666667,0,0,37.41466666666667,0.10333333333333333,0,0,0.42866666666666664,25.442666666666668,198,9.221333333333334,15,305.8666666666667,20.560666666666666,219.76,4486.8,8.303333333333333,563.6999999999999,15,4680.588999999999
20191007,150000,0,621.9786666666666,4.198666666666667,0.14066666666666666,0,0,34.63066666666667,0.096,0,0,0.436,26.526,201,10.64,15,349.2,25.195333333333334,221.02666666666667,5593.8,10.470666666666666,541.6466666666666,15,5671.401697777777
20191007,151500,1,543.3166666666666,3.3946666666666667,0.11333333333333334,0,0,28.007333333333335,0.07666666666666667,0,0,0.42733333333333334,27.219333333333335,207,9.664666666666667,15,253.86666666666667,23.739333333333335,220.94,5237.466666666666,9.880666666666666,538.4866666666667,15,5320.607257777778
20191007,153000,2,267.13,7.265333333333333,0.7146666666666667,0.35733333333333334,0.056666666666666664,59.228,0.6706666666666667,0.06533333333333334,0.011333333333333334,0.478,25.928,183,6.561333333333334,15,212.53333333333333,12.083333333333334,218.44,2652.4,4.977333333333333,539.38,15,2684.674053333333
