"","dia_mes_ano","hora_minuto","P_AC","I_AC","I_DC","V_AC","V_DC","IRR"
"417",20191116,104700,8277,37.07,15.91,223.2,529.9,1071
"418",20191116,104800,8283,37.08,15.9,223.2,528.9,1073
"419",20191116,104900,8281,37.08,15.99,223.2,527.3,1073
"420",20191116,105000,8280,37.09,16.05,223.2,525.6,1073
"421",20191116,105100,8280,37.09,16.12,223.2,523.3,1074
"422",20191116,105200,8280,37.13,16.11,223,522.8,1074
"423",20191116,105300,8277,37.09,16.04,223.1,525.3,1071
"424",20191116,105400,8277,37.08,15.99,223.2,528.4,1071
"425",20191116,105500,8282,37.11,15.92,223.1,530.1,1073
"426",20191116,105600,8282,37.11,15.91,223.1,530.1,1074
"427",20191116,105700,8280,37.09,15.98,223.2,528,1076
"428",20191116,105800,8278,37.1,15.83,223.1,531.1,1077
"429",20191116,105900,8277,37.1,15.85,223,532.6,1073
"430",20191116,110000,8281,37.11,15.8,223.1,535.3,1080
"431",20191116,110100,8281,37.1,15.78,223.1,535,1083
"432",20191116,110200,8281,37.12,15.83,223,534.9,1085
"433",20191116,110300,8280,37.16,15.84,222.7,534.1,1083
"434",20191116,110400,8281,37.14,15.87,222.9,533.1,1085
"435",20191116,110500,8280,37.14,15.79,222.8,534.8,1090
"436",20191116,110600,8280,37.15,15.67,222.8,537.5,1090
"437",20191116,110700,8280,37.2,15.68,222.5,537.3,1085
"438",20191116,110800,8277,37.17,15.73,222.7,535,1085
"439",20191116,110900,8277,37.15,15.76,222.8,535.5,1086
"440",20191116,111000,8280,37.14,15.77,222.9,534.9,1088
"441",20191116,111100,8279,37.22,15.72,222.3,536.9,1090
"442",20191116,111200,8277,37.15,15.65,222.7,538.4,1088
"443",20191116,111300,8280,37.13,15.63,223,539.1,1093
"444",20191116,111400,8280,37.11,15.58,223.1,540.2,1093
"445",20191116,111500,8280,37.13,15.53,222.9,541.2,1097
"446",20191116,111600,8280,37.14,15.61,222.9,539.1,1093
"447",20191116,111700,8277,37.14,15.66,222.8,539.4,1091
"448",20191116,111800,8280,37.2,15.64,222.5,539.3,1093
"449",20191116,111900,8280,37.15,15.72,222.8,537.5,1091
"450",20191116,112000,8277,37.15,15.69,222.8,535.6,1086
"451",20191116,112100,8280,37.15,15.72,222.8,537.5,1091
"452",20191116,112200,8283,37.2,15.71,222.5,537.4,1091
