tipo,P_AC,I_DC,IRR,I_AC,V_AC,dia_mes_ano,V_DC,hora_minuto
inverter,7927.0,16.13,978.0,36.42,217.6,20191003.0,495.7,103100
inverter,7937.0,16.33,980.0,36.35,218.3,20191003.0,498.3,103200
inverter,7932.0,16.13,983.0,36.78,215.5,20191003.0,500.5,103300
inverter,7916.0,16.26,983.0,36.5,217.6,20191003.0,493.4,103400
inverter,7980.0,16.34,984.0,36.67,217.5,20191003.0,500.4,103500
inverter,7954.0,16.24,983.0,36.21,219.6,20191003.0,498.0,103600
inverter,7953.0,16.18,983.0,36.21,219.5,20191003.0,501.0,103700
inverter,7920.0,15.92,978.0,36.06,219.6,20191003.0,504.4,103800
inverter,7944.0,16.24,980.0,36.67,216.6,20191003.0,499.1,103900
inverter,7959.0,16.26,981.0,37.26,213.5,20191003.0,496.3,104000
inverter,7923.0,15.86,989.0,37.09,214.3,20191003.0,509.5,104100
inverter,7962.0,15.67,989.0,36.96,214.4,20191003.0,518.1,104200
inverter,8055.0,16.34,994.0,37.11,217.0,20191003.0,502.5,104300
inverter,8054.0,16.61,995.0,37.16,216.7,20191003.0,495.9,104400
inverter,8082.0,15.86,1000.0,37.45,214.6,20191003.0,507.7,104500
inverter,8096.0,16.72,1000.0,37.82,214.1,20191003.0,493.6,104600
inverter,8070.0,16.53,997.0,37.35,216.0,20191003.0,496.4,104700
inverter,8091.0,16.53,1001.0,37.11,218.1,20191003.0,503.3,104800
inverter,8118.0,16.27,1006.0,37.08,218.9,20191003.0,505.0,104900
inverter,8022.0,16.37,1006.0,37.3,216.8,20191003.0,506.3,105000
inverter,7974.0,15.47,1009.0,37.13,214.4,20191003.0,518.4,105100
inverter,7941.0,15.35,1009.0,36.97,214.3,20191003.0,523.1,105200
inverter,7938.0,15.33,1010.0,37.03,214.4,20191003.0,524.6,105300
inverter,8172.0,16.6,1013.0,37.52,217.8,20191003.0,497.0,105400
inverter,8175.0,16.77,1015.0,37.16,220.0,20191003.0,496.7,105500
inverter,8145.0,16.86,1010.0,37.02,220.0,20191003.0,494.5,105600
inverter,8116.0,16.89,1010.0,37.51,216.3,20191003.0,488.4,105700
inverter,8049.0,16.0,1019.0,37.61,214.0,20191003.0,517.3,105800
inverter,8174.0,16.46,1021.0,38.04,215.0,20191003.0,506.3,105900
inverter,8178.0,16.6,1021.0,37.57,217.6,20191003.0,501.1,110000
inverter,8217.0,16.72,1026.0,37.21,220.8,20191003.0,500.6,110100
inverter,8235.0,16.94,1027.0,37.22,221.1,20191003.0,495.7,110200
inverter,8241.0,16.92,1026.0,37.68,218.6,20191003.0,495.5,110300
inverter,8232.0,17.01,1024.0,38.01,216.5,20191003.0,493.1,110400
inverter,8205.0,16.96,1024.0,38.04,215.7,20191003.0,492.8,110500
inverter,8193.0,16.95,1023.0,37.55,218.3,20191003.0,493.0,110600
inverter,8214.0,16.81,1023.0,37.37,219.9,20191003.0,497.4,110700
inverter,8232.0,17.04,1021.0,37.45,219.7,20191003.0,492.3,110800
inverter,8235.0,17.01,1024.0,37.98,216.8,20191003.0,492.6,110900
inverter,8145.0,16.4,1023.0,38.19,213.3,20191003.0,507.5,111000
inverter,8157.0,16.57,1024.0,38.18,213.6,20191003.0,501.7,111100
inverter,8061.0,16.05,1019.0,37.61,214.1,20191003.0,507.9,111200
inverter,8115.0,17.07,1016.0,37.46,216.6,20191003.0,485.4,111300
inverter,8133.0,17.06,1019.0,37.15,218.9,20191003.0,484.9,111400
inverter,8100.0,17.25,1018.0,37.0,219.0,20191003.0,479.8,111500
inverter,8175.0,17.16,1021.0,37.84,215.8,20191003.0,486.6,111600
inverter,8136.0,16.4,1024.0,38.19,213.0,20191003.0,505.8,111700
inverter,8148.0,16.63,1024.0,38.18,213.4,20191003.0,501.8,111800
inverter,8139.0,17.32,1024.0,37.65,216.1,20191003.0,479.6,111900
inverter,8130.0,17.16,1023.0,37.65,216.0,20191003.0,482.3,112000
inverter,8142.0,17.29,1026.0,37.36,218.5,20191003.0,481.6,112100
inverter,8188.0,17.18,1027.0,37.84,216.4,20191003.0,486.2,112200
inverter,8106.0,17.42,1029.0,37.62,216.2,20191003.0,475.9,112300
inverter,8010.0,15.66,1026.0,37.49,214.1,20191003.0,513.6,112400
