vento_vel,tamanho_medio,massaPM1,rainfall,massaPM2,massaPM4,numPM4,irr,massaPM10,numPM2,hora_minuto,tipo,temp,numPM1,vento_dir,numPM10,dia_mes_ano
1.33,0.43,1.86,0.0,0.06,0.0,0.0,0.0,0.0,0.04,21100,station,-127.0,15.38,315.0,0.0,20191023.0
2.66,0.44,2.0,0.0,0.07,0.0,0.0,0.0,0.0,0.05,21200,station,-127.0,16.48,0.0,0.0,20191023.0
5.32,0.44,1.77,0.0,0.06,0.0,0.0,0.0,0.0,0.04,21300,station,-127.0,14.59,0.0,0.0,20191023.0
5.32,0.45,2.14,0.0,0.07,0.0,0.0,0.0,0.0,0.05,21400,station,-127.0,17.68,315.0,0.0,20191023.0
0.0,0.44,1.77,0.0,0.06,0.0,0.0,0.0,0.0,0.04,21500,station,-127.0,14.58,315.0,0.0,20191023.0
7.98,0.44,1.72,0.0,0.06,0.0,0.0,0.0,0.0,0.04,21600,station,-127.0,14.17,315.0,0.0,20191023.0
5.32,0.46,2.16,0.0,0.07,0.0,0.0,0.0,0.0,0.05,21700,station,-127.0,17.81,315.0,0.0,20191023.0
2.66,0.45,1.98,0.0,0.07,0.0,0.0,0.0,0.0,0.04,21800,station,-127.0,16.31,315.0,0.0,20191023.0
0.0,0.44,1.91,0.0,0.06,0.0,0.0,0.0,0.0,0.04,21900,station,-127.0,15.76,315.0,0.0,20191023.0
2.66,0.43,1.51,0.0,0.05,0.0,0.0,0.0,0.0,0.03,22000,station,-127.0,12.43,315.0,0.0,20191023.0
5.32,0.43,1.72,0.0,0.06,0.0,0.0,0.0,0.0,0.04,22100,station,-127.0,14.19,0.0,0.0,20191023.0
5.32,0.42,1.75,0.0,0.06,0.0,0.0,0.0,0.0,0.04,22200,station,-127.0,14.44,0.0,0.0,20191023.0
2.66,0.41,1.83,0.0,0.06,0.0,0.0,0.0,0.0,0.04,22300,station,-127.0,15.07,0.0,0.0,20191023.0
1.33,0.4,1.86,0.0,0.06,0.0,0.0,0.0,0.0,0.04,22400,station,-127.0,15.31,0.0,0.0,20191023.0
1.33,0.41,1.66,0.0,0.06,0.0,0.0,0.0,0.0,0.04,22500,station,-127.0,13.67,0.0,0.0,20191023.0
0.0,0.41,2.09,0.0,0.07,0.0,0.0,0.0,0.0,0.05,22600,station,-127.0,17.2,0.0,0.0,20191023.0
2.66,0.42,1.96,0.0,0.07,0.0,0.0,0.0,0.0,0.04,22700,station,-127.0,16.19,0.0,0.0,20191023.0
2.66,0.41,1.83,0.0,0.06,0.0,0.0,0.0,0.0,0.04,22800,station,-127.0,15.1,0.0,0.0,20191023.0
2.66,0.41,2.04,0.0,0.07,0.0,0.0,0.0,0.0,0.05,22900,station,-127.0,16.82,0.0,0.0,20191023.0
0.0,0.43,1.88,0.0,0.06,0.0,0.0,0.0,0.0,0.04,23000,station,-127.0,15.51,0.0,0.0,20191023.0
0.0,0.41,1.86,0.0,0.06,0.0,0.0,0.0,0.0,0.04,23100,station,-127.0,15.33,0.0,0.0,20191023.0
0.0,0.42,1.8,0.0,0.06,0.0,0.0,0.0,0.0,0.04,23200,station,-127.0,14.83,0.0,0.0,20191023.0
0.0,0.41,2.28,0.0,0.08,0.0,0.0,0.0,0.0,0.05,23300,station,-127.0,18.83,0.0,0.0,20191023.0
0.0,0.42,1.88,0.0,0.06,0.0,0.0,0.0,0.0,0.04,23400,station,-127.0,15.52,0.0,0.0,20191023.0
0.0,0.42,1.95,0.0,0.06,0.0,0.0,0.0,0.0,0.04,23500,station,-127.0,16.1,0.0,0.0,20191023.0
0.0,0.42,2.18,0.0,0.07,0.0,0.0,0.0,0.0,0.05,23600,station,-127.0,18.02,0.0,0.0,20191023.0
0.0,0.42,1.79,0.0,0.06,0.0,0.0,0.0,0.0,0.04,23700,station,-127.0,14.73,0.0,0.0,20191023.0
0.0,0.43,1.81,0.0,0.06,0.0,0.0,0.0,0.0,0.04,23800,station,-127.0,14.9,0.0,0.0,20191023.0
0.0,0.44,2.05,0.0,0.07,0.0,0.0,0.0,0.0,0.05,23900,station,-127.0,16.9,0.0,0.0,20191023.0
0.0,0.43,1.84,0.0,0.06,0.0,0.0,0.0,0.0,0.04,24000,station,-127.0,15.18,0.0,0.0,20191023.0
0.0,0.42,1.86,0.0,0.06,0.0,0.0,0.0,0.0,0.04,24100,station,-127.0,15.35,0.0,0.0,20191023.0
0.0,0.42,1.85,0.0,0.06,0.0,0.0,0.0,0.0,0.04,24200,station,-127.0,15.3,0.0,0.0,20191023.0
0.0,0.43,1.78,0.0,0.06,0.0,0.0,0.0,0.0,0.04,24300,station,-127.0,14.65,0.0,0.0,20191023.0
0.0,0.44,1.6,0.0,0.05,0.0,0.0,0.0,0.0,0.04,24400,station,-127.0,13.2,0.0,0.0,20191023.0
0.0,0.43,2.04,0.0,0.07,0.0,0.0,0.0,0.0,0.05,24500,station,-127.0,16.8,0.0,0.0,20191023.0
0.0,0.43,1.73,0.0,0.06,0.0,0.0,0.0,0.0,0.04,24600,station,-127.0,14.3,0.0,0.0,20191023.0
0.0,0.43,1.81,0.0,0.06,0.0,0.0,0.0,0.0,0.04,24700,station,-127.0,14.89,0.0,0.0,20191023.0
0.0,0.44,1.68,0.0,0.06,0.0,0.0,0.0,0.0,0.04,24800,station,-127.0,13.9,0.0,0.0,20191023.0
0.0,0.44,1.56,0.0,0.05,0.0,0.0,0.0,0.0,0.04,24900,station,-127.0,12.84,0.0,0.0,20191023.0
0.0,0.43,1.59,0.0,0.05,0.0,0.0,0.0,0.0,0.04,25000,station,-127.0,13.14,0.0,0.0,20191023.0
0.0,0.43,1.7,0.0,0.06,0.0,0.0,0.0,0.0,0.04,25100,station,-127.0,14.06,0.0,0.0,20191023.0
0.0,0.42,1.74,0.0,0.06,0.0,0.0,0.0,0.0,0.04,25200,station,-127.0,14.36,0.0,0.0,20191023.0
0.0,0.42,1.78,0.0,0.06,0.0,0.0,0.0,0.0,0.04,25300,station,-127.0,14.68,0.0,0.0,20191023.0
0.0,0.42,2.05,0.0,0.07,0.0,0.0,0.0,0.0,0.05,25400,station,-127.0,16.92,0.0,0.0,20191023.0
0.0,0.43,2.16,0.0,0.07,0.0,0.0,0.0,0.0,0.05,25500,station,-127.0,17.86,0.0,0.0,20191023.0
0.0,0.44,1.91,0.0,0.06,0.0,0.0,0.0,0.0,0.04,25600,station,-127.0,15.76,0.0,0.0,20191023.0
0.0,0.43,1.56,0.0,0.05,0.0,0.0,0.0,0.0,0.04,25700,station,-127.0,12.86,0.0,0.0,20191023.0
0.0,0.43,1.59,0.0,0.05,0.0,0.0,0.0,0.0,0.04,25800,station,-127.0,13.15,0.0,0.0,20191023.0
0.0,0.44,1.98,0.0,0.07,0.0,0.0,0.0,0.0,0.04,25900,station,-127.0,16.33,0.0,0.0,20191023.0
0.0,0.43,1.73,0.0,0.06,0.0,0.0,0.0,0.0,0.04,30000,station,-127.0,14.24,0.0,0.0,20191023.0
