"","dia_mes_ano","hora_minuto","irr","massaPM1","massaPM2","massaPM4","massaPM10","numPM1","numPM2","numPM4","numPM10","tamanho_medio","temp","vento_dir","vento_vel","rainfall"
"1343",20200202,222400,0,2.18,0.07,0,0,18.02,0.05,0,0,0.46,24.38,270,0,0
"1344",20200202,222500,0,2.41,0.08,0,0,19.9,0.05,0,0,0.46,24.5,270,0,0
"1345",20200202,222600,0,1.89,0.06,0,0,15.6,0.04,0,0,0.46,24.81,270,0,0
"1346",20200202,222700,0,2.31,0.08,0,0,19.09,0.05,0,0,0.46,24.62,270,0,0
"1347",20200202,222800,0,2.19,0.07,0,0,18.06,0.05,0,0,0.48,24.62,270,0,0
"1348",20200202,222900,0,1.93,0.06,0,0,15.95,0.04,0,0,0.47,24.56,270,0,0
"1349",20200202,223000,0,2.02,0.07,0,0,16.66,0.05,0,0,0.46,24.5,270,0,0
"1350",20200202,223100,0,2.01,0.07,0,0,16.62,0.05,0,0,0.46,24.38,270,0,0
"1351",20200202,223200,0,2.38,0.08,0,0,19.67,0.05,0,0,0.47,24.31,270,0,0
"1352",20200202,223300,0,2.34,0.08,0,0,19.29,0.05,0,0,0.47,24.31,270,0,0
"1353",20200202,223400,0,2.27,0.08,0,0,18.71,0.05,0,0,0.48,24.25,270,0,0
"1354",20200202,223500,0,2.43,0.08,0,0,20.08,0.06,0,0,0.47,24.31,270,0,0
"1355",20200202,223600,0,2.01,0.07,0,0,16.61,0.05,0,0,0.47,24.19,270,0,0
"1356",20200202,223700,0,2.1,0.07,0,0,17.31,0.05,0,0,0.46,24.38,270,0,0
"1357",20200202,223800,0,2.04,0.07,0,0,16.83,0.05,0,0,0.46,24.19,270,0,0
"1358",20200202,223900,0,1.98,0.07,0,0,16.31,0.04,0,0,0.45,24.19,270,0,0
"1359",20200202,224000,0,2.22,0.07,0,0,18.29,0.05,0,0,0.47,24.06,270,0,0
"1360",20200202,224100,0,2.33,0.08,0,0,19.25,0.05,0,0,0.48,24.12,270,0,0
"1361",20200202,224200,0,2.29,0.08,0,0,18.88,0.05,0,0,0.48,24.19,270,0,0
