dia_mes_ano,hora_minuto,irr_inv,massaPM1,numPM1,massaPM2,numPM2,tamanho_medio,temp,vento_vel,vento_dir,P_AC,P_DC,I_AC,V_AC,I_DC,V_DC,massaPM4,numPM4,massaPM10,numPM10,rainfall,irr_est
20200303,040900,0,0.81,6.71,0.03,0.02,0.5,18.63,27.53,121.5,0,0,0,0,0,0,0,0,0,0,0,0
20200303,041900,0,0.74,6.14,0.03,0.02,0.49,18.57,33.12,90,0,0,0,0,0,0,0,0,0,0,0,0
20200303,042900,0,0.76,6.25,0.03,0.02,0.47,18.53,30.06,94.5,0,0,0,0,0,0,0,0,0,0,0,0
20200303,043900,0,0.75,6.18,0.02,0.02,0.49,18.42,24.21,103.5,0,0,0,0,0,0,0,0,0,0,0,0
20200303,044900,0,0.72,5.95,0.03,0.02,0.48,18.38,23.94,112.5,0,0,0,0,0,0,0,0,0,0,0,0
20200303,045900,0,0.84,6.98,0.03,0.02,0.48,18.33,20.62,108,0,0,0,0,0,0,0,0,0,0,0,0
20200303,050900,0,0.75,6.17,0.03,0.02,0.48,18.33,26.6,94.5,0,0,0,0,0,0,0,0,0,0,0,0
20200303,051900,0,0.76,6.28,0.03,0.02,0.48,18.35,20.08,112.5,0,0,0,0,0,0,0,0,0,0,0,0
20200303,052900,0,0.74,6.09,0.03,0.02,0.5,18.31,15.96,121.5,0,0,0,0,0,0,0,0,0,0,0,0
20200303,053900,6,0.92,7.61,0.03,0.02,0.5,18.19,15.16,135,11.5,39.8,0.11,218.55,0.08,469.05,0,0,0,0,0,0
20200303,054900,10.1,0.86,7.06,0.03,0.02,0.5,18.16,12.9,135,43.6,71.94,0.22,219.18,0.14,494.5,0,0,0,0,0,0
20200303,055900,16.9,0.98,8.05,0.03,0.02,0.5,18.49,20.88,126,108,135.57,0.51,218.09,0.26,524.74,0,0,0,0,0,0
20200303,060900,28.7,0.99,8.17,0.03,0.02,0.47,19.97,15.69,117,215.4,240.37,1.01,216.56,0.42,572.54,0,0,0,0,0,0
20200303,061900,47.6,0.97,8,0.03,0.02,0.47,20.5,19.82,121.5,370.8,396.72,1.74,214.3,0.74,540.85,0,0,0,0,0,0
20200303,062900,75.2,0.98,8.13,0.03,0.02,0.47,20.74,25.14,94.5,575.9,600.76,2.67,216.23,1.12,536.74,0,0,0,0,0,0
20200303,063900,109.7,0.87,7.19,0.03,0.02,0.5,21,28.06,90,888,920.28,4.12,216.27,1.75,525.78,0,0,0,0,0,0
20200303,064900,149.3,0.89,7.33,0.04,0.03,0.53,21.84,34.45,99,1283.7,1316.64,5.95,216.3,2.39,549.75,0.01,0,0,0,0,0
20200303,065900,191.8,0.74,6.12,0.03,0.02,0.53,22.36,28.33,99,1717.4,1746.25,7.89,217.82,3.08,565.99,0,0,0,0,0,0
